Temperature,Humidity,Wind_Speed,General_Diffuse_Flows,Diffuse_Flows,Power_Zone_1,Power_Zone_2,Power_Zone_3,Month,Hour
16.38,55.89,0.084,501.0,42.75,32870.88608,21596.35258,16747.95181,1,13
17.42,53.72,0.077,430.7,47.2,32706.83544,21789.66565,16453.01205,1,14
17.57,60.33,0.076,134.8,165.7,32166.07595,21432.21884,17395.66265,1,17
15.44,69.54,0.073,27.54,32.7,42179.24051,27443.16109,25179.75904,1,17
14.98,71.1,0.077,11.43,11.56,42938.73418,27665.6535,25445.78313,1,18
13.32,68.83,0.087,0.044,0.093,42337.21519,27052.88754,25792.77108,1,20
10.4,76.1,0.085,0.073,0.13,33302.27848,21895.44073,21386.0241,1,23
8.26,79.9,0.087,0.07,0.145,23021.77215,15034.65046,15383.13253,1,1
6.898,79.4,0.085,0.066,0.111,20949.87342,13484.49848,13908.43373,1,4
6.054,81.1,0.085,0.922,0.86,24558.98734,16085.10638,11381.20482,1,8
5.731,83.2,0.086,6.559,6.446,25725.56962,17150.15198,11971.08434,1,8
5.814,83.1,0.085,13.12,11.54,26053.67089,17576.8997,12549.39759,1,8
9.73,63.47,0.086,365.7,44.35,31989.87342,20855.92705,15597.10843,1,11
14.47,62.46,0.09,8.26,8.61,43333.67089,27319.14894,25775.42169,1,18
13.91,64.66,0.087,0.875,0.905,43831.89873,27184.19453,25792.77108,1,18
13.44,65.56,0.088,0.055,0.152,43643.5443,27184.19453,25879.51807,1,18
10.85,78.6,0.077,0.055,0.104,41924.05063,26571.42857,25370.60241,1,21
10.47,83.1,0.084,0.055,0.134,37974.68354,24806.07903,23901.68675,1,22
9.81,83.2,0.085,0.07,0.167,33271.89873,21837.08207,21241.44578,1,23
8.52,86.1,0.088,0.051,0.193,24078.98734,15818.84498,15371.56627,1,1
8.31,86.6,0.085,0.077,0.171,23052.1519,14837.68997,14839.51807,1,2
8.14,87.1,0.084,0.055,0.141,21788.35443,13984.19453,14110.84337,1,3
8.61,87.1,0.085,0.073,0.148,23659.74684,15807.90274,14932.04819,1,6
14.79,66.31,0.088,290.6,248.8,31813.67089,21556.231,16586.0241,1,12
15.63,61.97,0.083,266.4,271.5,32530.63291,21753.19149,16210.12048,1,14
15.51,65.34,0.084,165.9,169.0,31758.98734,21636.47416,16065.54217,1,15
15.45,66.81,0.086,157.0,161.1,31528.10127,21804.25532,16146.50602,1,15
13.85,74.0,0.09,0.033,0.07,42385.82278,26885.10638,25295.42169,1,19
12.61,77.3,0.088,0.026,0.148,41061.26582,26283.28267,25347.46988,1,21
12.32,78.0,0.09,0.044,0.171,34894.17722,22821.8845,22004.81928,1,22
12.28,78.1,0.085,0.037,0.167,33551.39241,22154.40729,21495.90361,1,23
11.95,77.0,0.089,0.059,0.145,24923.5443,16431.61094,16181.20482,1,1
10.8,80.6,0.085,0.026,0.171,22711.89873,14392.70517,14561.92771,1,2
9.25,83.6,0.087,0.048,0.152,22414.17722,14472.94833,14775.90361,1,5
8.9,84.0,0.083,0.04,0.2,23592.91139,15457.75076,15313.73494,1,6
8.49,85.4,0.088,0.037,0.122,23009.62025,13812.76596,12092.53012,1,7
13.64,70.6,0.09,416.0,76.5,34013.16456,21180.54711,16909.87952,1,11
14.65,67.51,0.083,462.5,88.7,34043.5443,21589.05775,17308.91566,1,12
14.82,62.44,0.079,194.0,194.3,32688.60759,20677.20365,17401.44578,1,14
15.44,65.04,0.072,237.6,272.2,30318.98734,19546.50456,17355.18072,1,16
13.86,72.0,0.075,4.041,4.102,41662.78481,26130.09119,25758.07229,1,18
11.77,80.0,0.075,0.077,0.096,40429.36709,25801.82371,25821.68675,1,19
11.56,80.4,0.078,0.081,0.089,40757.46835,25422.4924,25434.21687,1,19
13.24,77.2,0.078,0.04,0.126,38497.21519,24240.72948,24728.6747,1,21
14.19,77.8,0.085,0.044,0.111,27791.39241,17934.3465,18639.03614,1,0
14.43,76.0,0.089,0.066,0.137,23009.62025,15147.72036,15851.56627,1,1
14.13,74.7,0.082,0.048,0.108,22152.91139,14534.95441,15209.63855,1,2
14.27,74.7,0.092,0.055,0.115,21642.53165,13973.25228,15105.54217,1,2
14.15,72.3,0.091,0.04,0.137,20773.67089,13371.42857,14613.9759,1,3
13.16,72.4,0.088,0.059,0.104,21253.67089,13200.0,14723.85542,1,5
13.37,70.2,0.088,0.037,0.167,22657.21519,13783.58663,14602.40964,1,6
13.54,68.61,0.092,0.088,0.145,20785.82278,12488.7538,13867.95181,1,7
13.74,68.08,0.09,0.051,0.152,19522.02532,11438.29787,10519.51807,1,7
13.3,68.71,0.099,0.113,0.178,20117.46835,11704.55927,10560.0,1,8
12.34,69.75,0.085,6.028,5.867,21593.92405,12568.99696,11271.3253,1,8
12.39,69.08,0.087,11.26,10.76,22104.3038,12941.03343,11595.18072,1,8
14.19,64.44,0.081,104.6,93.5,27973.67089,13619.45289,14498.31325,1,10
15.41,61.04,0.076,205.4,158.0,32743.29114,16942.24924,16904.09639,1,11
15.96,57.96,0.077,232.2,125.7,33107.8481,17212.15805,17881.44578,1,13
15.7,59.77,0.079,139.7,85.6,31880.50633,16810.94225,17164.33735,1,15
15.58,60.3,0.075,86.3,83.4,31515.94937,16562.91793,17123.85542,1,15
15.7,61.77,0.075,73.9,73.4,30233.92405,17077.20365,16788.43373,1,16
15.56,68.78,0.071,58.3,67.63,39256.70886,23624.31611,25012.04819,1,17
15.22,73.3,0.073,0.081,0.074,41662.78481,24831.61094,25653.9759,1,19
15.17,74.6,0.072,0.048,0.089,41796.4557,24656.53495,25729.15663,1,19
15.29,74.7,0.072,0.095,0.13,40010.12658,24532.5228,24566.74699,1,21
15.18,73.1,0.074,0.084,0.082,29608.10127,18926.44377,19656.86747,1,23
15.08,71.0,0.074,0.062,0.152,25828.86076,16511.8541,17170.12048,1,0
14.91,72.8,0.073,0.055,0.204,20664.3038,12423.1003,13694.45783,1,3
14.85,68.8,0.076,0.048,0.122,22699.74684,14564.13374,14833.73494,1,6
14.9,67.27,0.076,0.084,0.115,23003.5443,15063.82979,14544.57831,1,7
15.85,57.65,0.075,246.0,93.8,30173.16456,19145.28875,14457.83133,1,10
16.69,57.14,0.075,490.9,172.0,33745.82278,20677.20365,15851.56627,1,11
16.62,58.21,0.076,290.5,197.1,33685.06329,20487.53799,16198.55422,1,12
16.99,60.48,0.073,486.8,86.2,32992.40506,20779.33131,16458.79518,1,14
16.91,60.85,0.077,426.8,85.2,32579.24051,20888.7538,16522.40964,1,14
16.44,67.16,0.073,385.2,373.2,31965.56962,21114.89362,16314.21687,1,15
15.42,72.1,0.073,4.604,4.851,43163.5443,26717.32523,25231.80723,1,18
15.04,76.9,0.075,0.055,0.111,40502.27848,25258.35866,24248.6747,1,21
14.41,79.3,0.078,0.055,0.148,24637.97468,14844.9848,15313.73494,1,1
14.59,78.9,0.08,0.048,0.152,22906.32911,13790.88146,14174.45783,1,2
14.67,78.9,0.082,0.026,0.145,22541.77215,13407.90274,14006.74699,1,2
14.4,79.1,0.08,0.048,0.156,21843.03797,13137.99392,13590.36145,1,4
14.3,78.8,0.078,0.059,0.171,25306.32911,15001.82371,14527.22892,1,6
14.44,78.7,0.081,0.081,0.111,24984.3038,15829.78723,12896.38554,1,7
11.46,80.9,0.079,28.94,27.78,28666.32911,17493.00912,13197.10843,1,9
15.73,65.62,0.073,420.7,114.5,34292.65823,20866.8693,16036.62651,1,12
16.28,64.05,0.076,461.8,78.6,34979.24051,21107.59878,16643.85542,1,14
15.82,65.32,0.075,180.7,173.7,33940.25316,21257.14286,16956.14458,1,15
15.81,68.32,0.073,370.4,390.6,33587.8481,20819.45289,16620.72289,1,15
15.69,69.33,0.078,167.2,195.1,34007.08861,20804.86322,17314.6988,1,17
15.33,70.2,0.075,59.64,73.7,42136.70886,25725.22796,24572.53012,1,17
12.07,81.8,0.072,0.062,0.089,43807.59494,26451.06383,25364.81928,1,19
11.37,84.3,0.087,0.055,0.096,42683.5443,26137.38602,25330.12048,1,20
10.05,85.5,0.087,0.033,0.159,27955.44304,17285.10638,17517.10843,1,0
10.12,84.9,0.086,0.055,0.115,24704.81013,14520.36474,15047.71084,1,1
8.95,84.0,0.086,0.055,0.126,22256.20253,13178.1155,13839.03614,1,3
9.67,84.8,0.087,0.044,0.182,22092.1519,12977.5076,13573.01205,1,4
9.55,81.6,0.083,0.07,0.111,22116.4557,13006.68693,13636.62651,1,4
10.74,66.77,0.085,253.7,52.79,30209.62025,18386.62614,14920.48193,1,10
18.44,47.81,0.085,499.2,176.6,33928.10127,20122.79635,17054.45783,1,13
18.68,46.64,0.087,280.8,222.4,33800.50633,20086.32219,16736.38554,1,14
17.62,54.94,0.087,9.47,9.82,43716.4557,25696.04863,25150.84337,1,18
14.53,74.1,0.085,0.051,0.159,42932.65823,25798.17629,25555.66265,1,20
12.14,76.5,0.085,0.048,0.093,35052.1519,21632.82675,20894.45783,1,23
12.21,69.99,0.085,0.051,0.134,31017.72152,19597.56839,19153.73494,1,23
11.27,70.9,0.085,0.048,0.111,27688.10127,17843.16109,17233.73494,1,0
10.68,74.0,0.087,0.073,0.078,26734.17722,16774.46809,16562.89157,1,0
10.19,75.8,0.087,0.084,0.137,23471.39241,14392.70517,14781.68675,1,2
9.75,76.5,0.086,0.04,0.141,22523.5443,13951.36778,14371.08434,1,2
9.23,74.9,0.082,0.084,0.115,21812.65823,13787.23404,14110.84337,1,4
9.67,73.2,0.077,0.048,0.152,21727.59494,13801.82371,14099.27711,1,4
11.55,71.1,0.076,0.091,0.134,24996.4557,16271.12462,13359.03614,1,7
16.03,73.0,0.077,365.4,223.8,33010.63291,20564.13374,14290.12048,1,10
16.92,64.47,0.077,199.9,190.7,34256.20253,21516.10942,14914.6988,1,11
17.04,74.1,0.076,444.5,116.9,35702.27848,22220.06079,15215.42169,1,11
17.26,73.4,0.071,606.9,245.8,36571.13924,22446.20061,15706.98795,1,12
17.43,71.5,0.073,666.8,329.7,35805.56962,21016.41337,17054.45783,1,13
16.38,73.9,0.073,137.2,146.0,33077.46835,20341.64134,16256.38554,1,16
15.74,79.4,0.078,12.32,12.59,44214.68354,26713.67781,25283.85542,1,18
15.15,83.3,0.076,0.04,0.145,38946.83544,24149.54407,23658.79518,1,22
15.2,83.9,0.076,0.062,0.141,26740.25316,16920.36474,16921.44578,1,0
14.9,85.4,0.074,0.066,0.145,24012.1519,14534.95441,15325.3012,1,1
14.04,85.4,0.072,0.04,0.148,22286.58228,13458.96657,13642.40964,1,4
13.55,84.8,0.075,0.062,0.159,22517.46835,13765.34954,13920.0,1,5
13.71,85.0,0.078,0.044,0.108,22754.43038,13867.4772,14238.07229,1,5
13.2,85.5,0.073,0.033,0.178,25683.03797,15778.7234,14434.6988,1,6
13.07,84.5,0.073,0.048,0.148,25488.60759,16154.40729,13798.55422,1,7
13.07,84.2,0.075,0.066,0.126,25482.53165,15961.09422,12913.73494,1,7
13.28,82.8,0.073,20.02,20.35,28168.10127,19192.70517,11624.09639,1,9
13.59,83.1,0.077,30.25,30.62,29292.1519,20009.72644,12138.79518,1,9
15.97,78.3,0.07,199.1,201.2,34432.40506,21457.75076,15886.26506,1,11
16.08,76.7,0.075,230.6,234.4,33089.62025,20917.93313,16366.26506,1,12
16.14,76.4,0.07,236.7,241.2,32943.79747,20837.68997,16256.38554,1,13
16.48,73.2,0.071,208.2,213.1,32986.32911,20564.13374,15429.39759,1,15
16.55,71.3,0.07,210.8,215.0,32694.68354,19765.34954,15296.38554,1,16
15.52,76.3,0.067,4.882,5.059,43497.72152,26254.10334,24844.33735,1,18
13.65,83.3,0.073,0.048,0.126,43066.32911,25947.72036,25353.25301,1,20
12.95,85.5,0.069,0.051,0.137,39116.96203,24258.96657,24017.3494,1,21
13.15,86.4,0.085,0.051,0.159,36218.73418,22603.03951,22733.49398,1,22
13.19,86.1,0.087,0.048,0.119,32026.32911,19561.09422,19564.33735,1,23
14.27,82.3,0.085,0.051,0.108,27129.11392,16639.51368,16626.50602,1,0
14.28,78.8,0.085,0.051,0.137,24729.11392,15136.77812,15279.03614,1,1
14.01,80.5,0.085,0.037,0.122,23854.17722,14188.44985,14758.55422,1,1
18.11,41.89,0.09,0.037,0.148,21915.94937,13057.75076,13833.25301,1,4
16.83,53.17,0.084,0.07,0.174,22341.26582,13192.70517,14000.96386,1,5
15.18,61.48,0.079,0.099,0.115,24607.59494,14819.45289,14908.91566,1,6
13.68,72.2,0.087,0.073,0.145,22973.16456,13604.86322,12526.26506,1,7
12.53,76.0,0.087,1.588,1.621,24334.17722,14213.98176,11496.86747,1,8
12.2,75.6,0.087,54.93,51.21,27663.79747,16424.31611,13017.83133,1,9
13.32,71.6,0.082,297.2,118.5,33314.43038,19900.30395,15967.22892,1,10
17.93,62.25,0.088,120.3,121.9,31910.88608,19520.97264,16557.10843,1,16
16.86,63.99,0.074,1.867,2.021,42306.83544,25597.56839,25763.85542,1,18
16.59,64.85,0.076,0.534,0.63,42215.6962,25779.93921,25734.93976,1,18
14.99,74.8,0.071,0.07,0.115,42027.34177,25469.90881,25891.08434,1,19
13.0,77.2,0.087,0.073,0.119,39123.03797,23817.62918,24439.51807,1,21
13.2,78.0,0.084,0.048,0.13,38187.34177,23343.46505,24011.56627,1,22
13.32,81.9,0.082,0.048,0.126,28313.92405,20141.03343,21189.39759,1,23
12.44,83.3,0.083,0.04,0.115,26782.78481,19232.82675,19957.59036,1,23
11.04,87.3,0.082,0.059,0.159,19613.16456,18948.32827,15834.21687,1,1
10.51,88.6,0.081,0.04,0.193,16107.34177,17241.33739,13914.21687,1,3
10.2,87.9,0.081,0.037,0.111,16216.70886,17124.62006,14000.96386,1,3
9.42,89.2,0.079,0.066,0.141,15663.79747,16635.86626,13850.60241,1,4
10.04,86.5,0.087,47.95,44.58,17024.81013,17215.80547,12254.45783,1,9
17.59,58.78,0.084,458.3,167.6,25749.87342,23062.61398,17175.90361,1,12
18.46,51.71,0.084,206.2,190.5,31977.72152,18069.30091,17493.9759,1,13
18.55,52.27,0.082,547.1,505.0,31819.74684,18375.68389,17534.45783,1,14
18.97,51.5,0.084,530.7,514.3,31564.55696,18364.74164,17424.57831,1,14
18.58,50.03,0.086,396.5,425.7,30555.94937,18062.00608,17389.87952,1,14
18.84,50.17,0.084,256.5,284.2,29577.72152,17190.27356,16788.43373,1,16
17.9,54.01,0.083,87.1,98.2,30507.34177,17835.86626,17910.36145,1,17
16.24,62.42,0.081,0.059,0.082,41972.65823,24631.00304,25544.09639,1,19
16.31,62.22,0.08,0.055,0.141,41948.35443,24806.07903,25573.01205,1,20
16.19,62.25,0.08,0.07,0.108,42598.48101,24922.79635,25509.39759,1,20
16.08,59.58,0.082,0.07,0.104,40052.65823,24514.28571,24717.10843,1,21
16.3,52.4,0.081,0.066,0.096,35374.17722,22070.51672,21767.71084,1,22
16.34,57.08,0.081,0.062,0.115,27694.17722,17175.68389,17112.28916,1,0
14.36,68.86,0.077,0.081,0.156,24322.02532,15643.769,15030.36145,1,6
12.82,69.49,0.082,111.9,114.9,30610.63291,19524.62006,14128.19277,1,10
12.41,57.64,0.08,216.3,216.2,35173.67089,21702.12766,16470.36145,1,13
12.65,57.48,0.082,162.5,155.4,34894.17722,21519.75684,16649.63855,1,13
13.21,47.33,0.083,465.3,484.3,33915.94937,21424.92401,16800.0,1,14
12.78,53.24,0.082,31.77,37.63,42987.34177,26764.74164,25012.04819,1,18
12.62,53.91,0.081,0.033,0.108,43364.05063,26578.7234,25093.01205,1,19
12.76,53.34,0.081,0.066,0.126,42890.12658,26695.44073,25058.31325,1,19
11.8,61.65,0.086,0.07,0.1,38533.67089,26345.28875,25278.07229,1,21
11.29,63.45,0.089,0.055,0.126,37063.29114,25648.63222,24410.60241,1,21
10.31,72.2,0.086,0.048,0.108,27232.40506,17208.51064,17066.0241,1,0
10.19,73.7,0.087,0.051,0.119,25458.22785,15767.78116,15903.61446,1,0
10.48,71.1,0.082,0.066,0.1,21934.17722,13440.72948,14186.0241,1,3
10.28,73.5,0.081,0.051,0.2,21751.89873,13386.01824,13943.13253,1,4
10.07,74.3,0.083,0.073,0.111,22177.21519,13641.33739,14093.49398,1,5
9.4,76.6,0.076,0.059,0.134,25555.44304,15578.1155,12381.68675,1,7
13.92,45.78,0.084,188.3,225.2,32870.88608,20476.59574,16487.71084,1,16
12.86,55.36,0.084,23.41,24.69,39396.4557,24503.34347,23404.33735,1,17
11.26,64.01,0.084,0.055,0.119,44342.27848,27045.59271,25873.73494,1,19
11.39,60.0,0.088,0.062,0.096,38916.4557,24448.63222,23699.27711,1,22
10.83,60.67,0.087,0.051,0.122,30902.27848,19885.71429,19512.28916,1,23
11.35,57.7,0.087,0.048,0.096,25725.56962,16249.24012,16239.03614,1,0
12.87,51.02,0.083,0.059,0.126,22219.74684,13703.34347,13630.84337,1,3
13.0,50.15,0.085,0.062,0.1,21934.17722,13856.53495,13734.93976,1,3
13.2,45.28,0.082,0.066,0.111,24789.87342,15279.02736,14741.20482,1,6
13.26,47.88,0.085,0.066,0.104,24729.11392,15720.36474,11664.57831,1,7
13.35,47.41,0.084,1.823,1.888,27274.93671,17354.40729,12503.13253,1,8
13.42,47.78,0.084,35.45,36.21,28994.43038,18401.21581,13509.39759,1,9
15.0,49.05,0.086,130.1,133.6,36953.92405,24452.27964,19720.48193,1,16
14.88,52.75,0.082,14.17,14.61,44056.70886,29584.19453,27498.79518,1,18
14.31,57.26,0.083,0.081,0.085,45101.77215,29613.37386,27585.54217,1,19
14.81,57.53,0.082,0.073,0.126,42276.4557,28147.11246,26243.85542,1,21
14.44,65.04,0.082,0.055,0.096,30167.08861,20443.769,19147.95181,1,23
14.8,64.64,0.082,0.059,0.104,26077.97468,17489.3617,16666.98795,1,0
14.78,66.51,0.081,0.059,0.126,24972.1519,16865.6535,16262.16867,1,0
13.33,81.1,0.077,0.073,0.185,22359.49367,14527.65957,14810.60241,1,2
13.08,84.5,0.08,0.059,0.141,21302.27848,14049.84802,14145.54217,1,3
11.02,85.3,0.08,0.084,0.156,22031.39241,14549.54407,14642.89157,1,5
10.13,72.7,0.08,64.93,66.33,30063.79747,19790.88146,14197.59036,1,9
10.6,66.31,0.085,145.7,145.0,35532.1519,22934.95441,17956.62651,1,13
10.68,66.14,0.087,250.1,252.3,35659.74684,22800.0,18066.50602,1,13
11.23,66.01,0.089,585.2,599.7,35714.43038,22953.19149,17950.84337,1,13
11.56,61.44,0.082,87.1,90.9,36030.37975,23336.17021,17765.78313,1,15
11.55,61.1,0.08,72.3,75.4,36164.05063,23336.17021,17650.12048,1,15
11.91,53.62,0.085,0.04,0.122,45824.81013,28964.13374,26978.31325,1,19
11.7,52.32,0.087,0.059,0.111,45065.31646,28832.82675,26428.91566,1,20
11.08,56.96,0.085,0.066,0.067,45144.3038,28737.99392,27377.3494,1,20
11.01,57.6,0.086,0.062,0.07,44913.41772,28789.05775,27169.15663,1,20
11.46,53.89,0.086,0.059,0.122,41085.56962,27114.89362,25347.46988,1,21
10.97,54.72,0.086,0.088,0.134,39214.17722,25925.83587,24520.48193,1,22
10.48,55.03,0.091,0.091,0.074,30489.11392,20046.20061,19413.9759,1,23
9.26,60.4,0.086,0.051,0.115,25816.70886,16417.02128,16129.15663,1,1
9.17,60.77,0.083,0.029,0.122,21733.67089,13914.89362,13804.33735,1,4
11.8,51.62,0.08,0.725,0.842,24686.58228,16515.50152,11415.90361,1,8
12.72,49.32,4.917,283.1,289.0,30555.94937,20297.87234,14452.04819,1,10
13.07,47.75,4.921,370.3,382.3,32178.22785,21082.06687,14833.73494,1,10
13.72,46.64,0.086,97.9,101.0,35246.58228,22537.38602,16707.46988,1,13
13.6,48.35,0.084,98.9,101.2,36139.74684,22800.0,16655.42169,1,13
11.38,66.54,0.08,13.07,13.45,32603.5443,22460.79027,16175.42169,1,15
11.37,65.51,0.081,9.89,10.26,31959.49367,22234.65046,15886.26506,1,15
11.48,64.11,0.077,31.36,31.55,31576.70886,22030.39514,15730.12048,1,16
11.75,68.61,0.078,25.01,26.27,31175.6962,21603.64742,16574.45783,1,17
10.29,71.1,0.079,0.059,0.1,42185.31646,27545.28875,25931.56627,1,21
10.08,69.92,0.089,0.062,0.13,38035.44304,24506.99088,23473.73494,1,22
10.28,68.51,0.089,0.081,0.119,34961.01266,22588.44985,21235.66265,1,23
9.78,72.3,0.087,0.055,0.111,32020.25316,20888.7538,19882.40964,1,23
9.68,73.5,0.09,0.055,0.115,31035.94937,20046.20061,19269.39759,1,0
9.27,71.9,0.082,0.084,0.115,22256.20253,14119.14894,14932.04819,1,3
9.05,65.78,0.078,0.04,0.122,22268.35443,14148.32827,14741.20482,1,5
9.09,65.78,0.079,0.088,0.152,22335.18987,14071.73252,14833.73494,1,5
8.61,70.6,0.079,0.062,0.119,24480.0,15100.30395,14654.45783,1,6
10.11,62.27,4.915,244.3,250.2,30361.51899,19499.08815,14926.26506,1,10
10.32,62.44,4.916,313.0,325.9,31746.83544,20137.38602,15701.20482,1,10
12.89,57.13,0.085,398.7,432.0,33818.73418,21884.49848,17881.44578,1,14
12.87,49.78,0.087,128.1,165.2,35732.65823,22077.81155,20576.38554,1,17
12.39,56.79,0.085,0.044,0.108,44336.20253,27745.89666,26683.37349,1,19
12.45,56.09,0.085,0.051,0.104,44500.25316,27731.30699,26666.0241,1,19
11.85,67.08,0.085,0.073,0.082,44081.01266,27698.48024,26914.6988,1,20
12.48,66.34,0.084,0.055,0.13,20931.64557,12609.11854,13943.13253,1,4
12.3,67.41,0.08,0.07,0.145,23015.6962,13696.04863,14613.9759,1,6
12.28,64.34,0.08,83.4,81.0,25342.78481,12164.13374,13162.40964,1,9
12.92,64.71,0.083,125.2,124.4,31546.32911,14421.8845,15423.61446,1,10
12.99,63.74,0.082,145.5,144.5,32712.91139,14542.24924,15764.81928,1,10
13.88,57.96,0.085,144.7,147.9,35143.29114,14866.8693,16950.36145,1,12
14.16,58.2,0.084,323.0,333.4,35240.50633,15009.11854,17066.0241,1,12
13.67,56.46,0.085,44.24,45.21,32536.70886,14381.76292,16776.86747,1,16
13.64,58.96,0.091,65.88,68.48,32694.68354,14524.01216,16950.36145,1,17
13.52,57.93,0.086,6.976,7.28,41437.97468,24685.71429,25896.86747,1,18
12.97,62.2,0.09,0.059,0.119,42209.62025,25520.97264,26533.01205,1,19
12.45,64.84,0.086,0.059,0.108,42829.36709,26509.42249,25613.49398,1,21
12.2,64.87,0.089,0.055,0.141,39773.16456,25345.89666,24676.62651,1,22
9.27,79.6,0.087,0.051,0.137,27220.25316,16931.30699,16771.08434,1,0
8.73,82.4,0.081,149.4,149.3,28398.98734,17872.34043,12942.6506,1,9
14.58,59.93,0.082,532.4,591.8,35981.77215,22179.93921,17054.45783,1,14
14.38,56.59,0.084,269.6,306.0,34754.43038,21187.84195,16765.3012,1,15
14.33,57.16,0.086,152.0,170.1,34699.74684,21012.76596,16661.20482,1,16
14.73,56.13,0.085,175.1,220.4,35204.05063,21862.61398,17962.40964,1,17
14.18,59.27,0.088,103.1,134.5,39129.11392,24361.09422,23201.92771,1,17
13.02,65.88,0.083,6.123,6.297,45028.86076,27621.8845,26405.78313,1,18
12.13,71.4,0.084,0.044,0.108,44943.79747,27330.09119,26469.39759,1,19
